City,State,Home_Price,Unemployment_Rate,Year,Total_Crime,Population
New York,NY,710300,4,2017,585.8,8537673
Los Angeles,CA,658500,3.9,2017,634.8,3962726
Chicago,IL,221000,4.7,2017,903.8,2728695
Philadelphia,PA,144600,4.2,2017,1029,1567810
Las Vegas,NV,239500,4.9,2017,920.7,1562134
Phoenix,AZ,223700,3.9,2017,593.8,1559744
San Diego,CA,601200,3.3,2017,398.6,1400467
Dallas,TX,176300,3.1,2017,694.2,1301977
San Jose,CA,1007400,2.7,2017,329.6,1031458
Honolulu,HI,686900,1.7,2017,243.9,999307
Austin,TX,333900,2.7,2017,372.5,938728
Jacksonville,FL,160700,3.4,2017,648.3,867258
San Francisco,CA,1293600,2.7,2017,776.8,863782
Columbus,OH,138100,3.7,2017,546.3,860090
El Paso,TX,115400,4,2017,366.6,686077
Seattle,WA,718700,4.1,2017,598.7,683700
Denver,CO,393900,2.9,2017,673.9,682418
Detroit,MI,44400,4.2,2017,1759.6,673225
Boston,MA,568300,2.8,2017,706.8,665258
Nashville,TN,244800,2.4,2017,1101,658029
Memphis,TN,82000,3.7,2017,1740.1,657936
Oklahoma City,OK,132500,3.4,2017,765.6,630621
Portland,OR,407500,3.6,2017,472.8,615672
Milwaukee,WI,111500,2.7,2017,1596.1,600400
Albuquerque,NM,187300,5.1,2017,965.8,559721
Tucson,AZ,172500,4.2,2017,655.5,529675
Sacramento,CA,314300,3.8,2017,737.4,489717
Long Beach,CA,578500,3.9,2017,580.7,476318
Kansas City,MO,127400,3.3,2017,1417.3,473373
Mesa,AZ,230200,3.9,2017,418.7,471034
Atlanta,GA,217600,4.1,2017,1119.6,464710
Virginia Beach,VA,258700,3.9,2017,138.3,452797
Colorado Springs,CO,263700,3.5,2017,438.3,452410
Omaha,NE,161000,2.8,2017,515,452252
Miami,FL,306000,3.9,2017,1021.3,437969
Raleigh,NC,229000,3.8,2017,392.3,428993
Oakland,CA,729200,2.7,2017,1442.5,419481
Minneapolis,MN,242500,2.9,2017,1062.9,413479
Tulsa,OK,115500,4,2017,903.6,401520
Wichita,KS,124300,3.4,2017,984.8,389824
Cleveland,OH,61200,4.7,2017,1334.3,388655
Arlington,TX,188300,3.1,2017,502.1,387565
Tampa,FL,196300,3.4,2017,630.7,364383
Aurora,CO,300200,2.9,2017,460.8,360237
Anaheim,CA,580600,3.9,2017,363.7,349471
Santa Ana,CA,526500,3.9,2017,482.1,337304
Riverside,CA,363300,4.1,2017,446,323064
