"","City","State","Metro_L1","Metro.x","price_201712","State_full","Metro.y","rate","year","state_full","Total_ViolentCrime","Population"
"1","New York","NY","New York","New York",710300,"NY-NJ-PA","New York-Newark-Jersey City",4,2017,"New York",585.8,8537673
"2","Los Angeles","CA","Los Angeles","Los Angeles-Long Beach-Anaheim",658500,"CA","Los Angeles-Long Beach-Anaheim",3.9,2017,"California",634.8,3962726
"3","Chicago","IL","Chicago","Chicago",221000,"IL-IN-WI","Chicago-Naperville-Elgin",4.7,2017,"Illinois",903.8,2728695
"4","Philadelphia","PA","Philadelphia","Philadelphia",144600,"PA-NJ-DE-MD","Philadelphia-Camden-Wilmington",4.2,2017,"Pennsylvania",1029,1567810
"5","Las Vegas","NV","Las Vegas","Las Vegas",239500,"NV","Las Vegas-Henderson-Paradise",4.9,2017,"Nevada",920.7,1562134
"6","Phoenix","AZ","Phoenix","Phoenix",223700,"AZ","Phoenix-Mesa-Scottsdale",3.9,2017,"Arizona",593.8,1559744
"7","San Diego","CA","San Diego","San Diego",601200,"CA","San Diego-Carlsbad",3.3,2017,"California",398.6,1400467
"8","Dallas","TX","Dallas","Dallas-Fort Worth",176300,"TX","Dallas-Fort Worth-Arlington",3.1,2017,"Texas",694.2,1301977
"9","San Jose","CA","San Jose","San Jose",1007400,"CA","San Jose-Sunnyvale-Santa Clara",2.7,2017,"California",329.6,1031458
"10","Honolulu","HI","Urban Honolulu","Urban Honolulu",686900,"HI","Urban Honolulu",1.7,2017,"Hawaii",243.9,999307
"11","Austin","TX","Austin","Austin",333900,"TX","Austin-Round Rock",2.7,2017,"Texas",372.5,938728
"12","Jacksonville","FL","Jacksonville","Jacksonville",160700,"FL","Jacksonville",3.4,2017,"Florida",648.3,867258
"13","San Francisco","CA","San Francisco","San Francisco",1293600,"CA","San Francisco-Oakland-Hayward",2.7,2017,"California",776.8,863782
"14","Columbus","OH","Columbus","Columbus",138100,"OH","Columbus",3.7,2017,"Ohio",546.3,860090
"15","El Paso","TX","El Paso","El Paso",115400,"TX","El Paso",4,2017,"Texas",366.6,686077
"16","Seattle","WA","Seattle","Seattle",718700,"WA","Seattle-Tacoma-Bellevue",4.1,2017,"Washington",598.7,683700
"17","Denver","CO","Denver","Denver",393900,"CO","Denver-Aurora-Lakewood",2.9,2017,"Colorado",673.9,682418
"18","Detroit","MI","Detroit","Detroit",44400,"MI","Detroit-Warren-Dearborn",4.2,2017,"Michigan",1759.6,673225
"19","Boston","MA","Boston","Boston",568300,"MA-NH Metropolitan NECTA","Boston-Cambridge-Nashua",2.8,2017,"Massachusetts",706.8,665258
"20","Nashville","TN","Nashville","Nashville",244800,"TN","Nashville-Davidson--Murfreesboro--Franklin",2.4,2017,"Tennessee",1101,658029
