"State","City","Home Price","Unemployment Rate","Population","Year","Total_Crime"
"NY","New York",497700,7.9,8422460,2013,585.8
"CA","Los Angeles",479100,9,3890436,2013,634.8
"IL","Chicago",186600,9.1,2718887,2013,903.8
"PA","Philadelphia",111300,7.7,1555868,2013,1029
"NV","Las Vegas",164200,9.6,602749,2013,920.7
"AZ","Phoenix",162600,6.7,1525562,2013,593.8
"CA","San Diego",464100,7.8,1358242,2013,398.6
"TX","Dallas",103700,6.1,1258016,2013,694.2
"CA","San Jose",655200,6.6,1001580,2013,329.6
"TX","Austin",236400,5.2,885343,2013,372.5
"FL","Jacksonville",115800,7,843569,2013,648.3
"CA","San Francisco",868800,6.4,839280,2013,776.8
"OH","Columbus",101000,6.5,824904,2013,546.3
"TX","El Paso",112100,7.9,675608,2013,366.6
"WA","Seattle",427400,5.8,653095,2013,598.7
"CO","Denver",252600,6.6,647433,2013,673.9
"MI","Detroit",34100,9.7,689596,2013,1759.6
"MA","Boston",406400,6.1,651090,2013,706.8
"TN","Memphis",65900,8.5,657625,2013,1740.1
"OK","Oklahoma City",113900,4.6,611019,2013,765.6
"MD","Baltimore",103400,6.9,622858,2013,1535.9
"OR","Portland",271700,7.1,609132,2013,472.8
"WI","Milwaukee",91000,7.2,599756,2013,1596.1
"NM","Albuquerque",161200,6.8,556239,2013,965.8
"AZ","Tucson",139600,6.8,526143,2013,655.5
"CA","Sacramento",209500,8.7,479201,2013,737.4
"CA","Long Beach",444300,9,469148,2013,580.7
"MO","Kansas City",100400,6.2,467118,2013,1417.3
"AZ","Mesa",176800,6.7,462982,2013,418.7
"GA","Atlanta",142300,7.8,447888,2013,1119.6
"VA","Virginia Beach",240500,6.2,448604,2013,138.3
"CO","Colorado Springs",200600,7.9,440971,2013,438.3
"NE","Omaha",129700,4.1,441383,2013,515
"FL","Miami",250600,7.2,421191,2013,1021.3
"NC","Raleigh",184600,6.3,431478,2013,392.3
"CA","Oakland",445800,6.4,407205,2013,1442.5
"MN","Minneapolis",185600,4.8,400137,2013,1062.9
"OK","Tulsa",95200,5.3,398486,2013,903.6
"LA","New Orleans",139400,6.6,378886,2013,949.6
"KS","Wichita",101900,6,387105,2013,984.8
"OH","Cleveland",50900,6.8,391015,2013,1334.3
"TX","Arlington",131500,6.1,379354,2013,502.1
"FL","Tampa",125300,6.9,352949,2013,630.7
"CO","Aurora",180000,6.6,345172,2013,460.8
"CA","Anaheim",454600,9,344900,2013,363.7
"CA","Santa Ana",389900,9,334411,2013,482.1
"CA","Riverside",263600,9.8,316106,2013,446
"PA","Pittsburgh",88300,6.8,306878,2013,706.2
"CA","Stockton",171200,12.3,297545,2013,1352
"OH","Cincinnati",97700,7.3,297444,2013,925
